year,population
2020,67081000
2019,66796800
2018,66435600
2017,66040200
2016,65648100
2015,65110000
2014,64596800
2013,64105700
2012,63705000
2011,63285100
2010,62759500
2009,62260500
2008,61823800
2007,61319100
2006,60827100
2005,60413300
2004,59950400
2003,59636700
2002,59365700
2001,59113000
2000,58886100
1999,58684400
1998,58474900
1997,58314200
1996,58164400
1995,58024800
1994,57862100
1993,57713900
1992,57584500
1991,57438700
1990,57237500
1989,57076500
1988,56916400
1987,56804000
1986,56683800
1985,56554000
1984,56409300
1983,56315700
1982,56290700
1981,56357500
1980,56329700
